GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
61,1,21,8,240,46.9962,0.000820114,0.000168517,6,0,4.49E-05,0.001988496,94.0227,90.5311,4.1017,15,0.00057296,5,0,0
171,1,18,6,230,69.5076,0.00017507,0.000204248,4,5.84E-05,0.000204248,0.001458917,45.0612,112.96,9.14,11,0.00058357,4,0,0
363,1,33,4,120,68.6598,0.000302046,0.000322876,0,0,6.25E-05,0.002395534,48.6812,87.513,5.413,23,0.0005416,6,0,0.00020831
532,1,22,20,315,54.0792,0.001257583,0.000295902,3,3.70E-05,0.00048084,0.002182276,37.1724,111.661,3.9492,14,0.0013316,5,0,0
590,1,19,16,730,60.4956,0.000830803,8.21E-05,2,0,0.00061541,0.002194962,103.9624,93.3271,5.2103,36,0.0012924,7,0.000317962,0.00046156
600,1,17,12,300,89.031,0.000710109,0.000153161,1,0,0.000139237,0.003104985,53.5856,63.426,5.1435,26,0.0014341,5,0,0
699,1,21,10,150,86.2812,0.001027689,0.000177188,4,2.36E-05,0.000189,0.002929503,60.1296,76.3871,5.1573,23,0.001134,6,0,0
731,1,35,12,250,33.6204,0.001030234,0.000126151,1,0,1.05E-05,0.002218157,91.581,124.3602,2.4218,15,0.00065178,7,0,0
766,1,22,10,30,43.779,0.000294079,0.000130702,3,0,0.000261404,0.002842766,35.2093,86.6667,2.8966,7,0.00071886,3,0,0
771,1,20,4,250,44.0304,0.001070146,0.000327948,4,0,0.000241646,0.002485501,52.6993,113.1944,2.9722,11,0.00027617,4,0,0
779,1,28,6,100,68.214,0.00121146,0.000346131,1,0,0.00038607,0.002289792,57.0526,84.0698,5.4767,17,0.00099846,6,0,0
1013,1,28,8,176,69.1182,0.004277192,0.000187596,0,2.81E-05,6.57E-05,0.002185495,68.931,96.1545,4.1588,23,0.00066597,7,8.44E-05,6.57E-05
1016,1,24,16,60,25.6062,0.000211822,0.000121041,1,0,3.03E-05,0.001482752,74.8219,143.2381,3.3061,16,0.00039338,7,0,0
1074,1,22,16,400,38.3274,0,0,0,2.13E-05,8.52E-05,0.002578418,76.0667,88.6281,2.843,16,0.00061797,3,0,0
1128,1,18,14,100,50.1,0.002076545,0.000175708,0,0,4.79E-05,0.00238004,59.6486,114.0671,3.1678,13,0.00099035,6,0,0
1141,1,19,10,50,61.6098,0.002206861,0.000251517,7,5.68E-05,0.00021095,0.002628761,86.2291,84.5802,3.608,30,0.00048681,8,0,0
1173,1,26,8,50,31.33314,0.000149368,6.64E-05,4,0,0.000348525,0.002530952,111.1842,100.6295,2.3246,25,0.00016596,7,0,0.00010788
1228,1,26,4,230,68.1048,0.001494836,0.000249139,3,9.06E-05,0.000566226,0.002242254,36.7755,90.3838,5.0606,10,0.00061152,3,0,0
