GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
52,5,27,10,3000,143.718,0.003515159,0.000219697,7,0.000109849,0.000392317,0.004849037,32.6677,40.8673,4.7508,28,0.0013966,6,0,0
55,5,23,10,5000,129.2322,0.003303812,0.000259462,4,0.000294057,0.000432436,0.004307064,32.9194,42.3454,4.8434,22,0.0011935,5,0,0.00020757
100,5,16,30,5000,160.4754,0.00425386,0.000431735,2,0.000774584,0.000406339,0.004571313,36.2897,46.8889,5.4361,28,0.0019809,7,0,0
102,5,17,16,1500,81.7722,0.002333484,0.000430449,4,0,0.000249207,0.002899864,45.1654,64.75,4.5312,15,0.001246,6,0,0.00022655
106,5,20,10,120,160.6464,0.003430344,0.000633631,7,0,9.47E-05,0.005535163,28.3636,37.7947,4.7671,29,0.0027676,10,8.74E-05,0.00010196
118,5,16,14,350,107.9118,0.006701306,0.000706102,5,1.33E-05,0.000466294,0.00323741,67.0744,71.3251,4.3786,27,0.0013323,9,0.000239808,0
132,5,21,10,800,115.1274,0.002651149,0.000660037,8,9.90E-05,0.000693039,0.004147232,30.766,49.4854,4.679,30,0.00082505,8,0,0.00051703
139,5,18,20,800,99.5088,0.00073402,0.000108298,1,2.41E-05,0.00057759,0.002695418,22.7265,68.7321,6.7054,23,0.0019614,7,0,0
140,5,26,10,500,83.9172,0.002853513,0.000492966,3,0,0,0.004607334,51.2082,52.0494,2.8663,31,0.00065413,9,0,0
149,5,25,6,800,74.1174,0.000875,0.000205357,6,1.79E-05,4.46E-05,0.003517857,46.4122,71.8173,3.7944,34,0.00092857,5,0,0
154,5,25,20,700,101.6796,0.001406194,0.000427198,5,0,0.0001246,0.003453186,26.7979,54.5979,5.3144,22,0.0010324,4,0,0.0005696
162,5,16,16,1000,128.0784,0.002753792,9.50E-05,4,0.000240561,0.000164595,0.003969259,35.393,56.4019,5.2711,27,0.00043048,8,0,0
178,5,22,8,300,157.332,0.007742665,0.000223473,1,0.000131454,0.000985908,0.003799033,33.0417,57.7716,5.8581,29,0.0018929,6,0,0
182,5,25,12,200,164.1114,0.003372032,0.000403892,7,0.000112714,0.001568605,0.004987601,40.4604,43.7815,5.6365,32,0.0012774,8,0.000216036,0.0010896
196,5,18,28,800,84.1578,0.002368246,0.0006004,4,0,0,0.00278519,48.8675,77.7485,4.9042,15,0.00086724,6,5.00E-05,0.00010007
212,5,17,56,540,199.6854,0.005146297,0.000453133,1,3.24E-05,0.0002913,0.004790264,25.3831,33.9054,6.7095,29,0.0020876,7,0,1.62E-05
229,5,18,24,200,111.8556,0.004400404,0.000625494,0,9.88E-05,0.000197524,0.003917567,48.1798,54.1513,4.3529,31,0.0010096,8,0.000164604,0.00038408
244,5,23,12,600,142.5096,0.004059267,0.000543574,7,5.26E-05,9.64E-05,0.003480624,39.7778,56.7456,6.6977,33,0.0012537,9,8.77E-05,7.01E-05
246,5,19,6,550,106.4316,0.001608439,9.35E-05,0,0,0.000243136,0.003198175,25.1294,64.7953,5.7251,11,0.0010099,3,0,0
250,5,23,8,700,68.6388,0.000441021,8.82E-05,2,2.94E-05,0.000264613,0.002734329,84.6087,75.0968,4.6559,25,0.00061743,3,0,0
265,5,21,10,350,77.7252,0.001308278,0.000407775,1,6.80E-05,0.0010874,0.002395678,37.5429,73.3333,5.7234,16,0.00066263,4,0,0.00033981
267,5,22,6,160,134.571,0.003169386,0.000469539,4,0,0.000484212,0.004871464,28.5921,49.506,4.4849,25,0.0018341,7,0,0
281,5,23,20,1300,110.7312,0.003174056,0.000395489,6,1.01E-05,0.000253519,0.004360524,31.8228,48.1395,4.1279,27,0.00057802,7,0.000324504,0.00020282
297,5,18,6,180,162.4398,0.011680389,0.000520782,5,9.92E-05,0.000669576,0.004067057,33.7914,55.8293,4.6159,13,0.00081837,7,0,7.44E-05
299,5,21,20,1000,111.0876,0.00314119,0.000803906,7,0,0.000223307,0.003543143,25.6371,55.6303,5.063,12,0.00064015,4,0,0
301,5,19,14,450,117.4128,0.005267559,0.000459866,5,0,0.000167224,0.003239967,53.013,53.7032,5.4129,18,0.0018604,6,0,0
302,5,27,10,150,164.4894,0.008501586,0.000571856,8,3.05E-05,0.000236367,0.004902708,40.0312,43.3468,4.633,30,0.0008616,9,0.000190619,0.00056423
312,5,17,28,730,116.2062,0.004315562,0.000342087,5,9.21E-05,0.000263144,0.003499816,41.4792,59.1429,5.2368,29,0.0012105,5,0.000171044,0.00017104
316,5,20,18,770,193.6086,0.007317992,0.000652098,7,0.000101438,0.000579643,0.005303733,17.9945,39.1803,5.6421,28,0.0028692,6,0,0
318,5,17,36,720,335.499,0.035638249,0.000137356,5,1.14E-05,0.000417792,0.004761687,24.2551,43.0048,5.7007,28,0.00056659,11,0,0
320,5,19,8,500,188.76,0.010450774,0.000302759,2,0.000392465,0.000695223,0.004339538,22.2383,47.0904,5.9328,23,0.00063916,6,0,0
366,5,23,12,500,136.5768,0.002483105,0.000179193,2,0,5.12E-05,0.002303912,34.7416,61.2889,10.0333,17,0.00058878,4,0,7.68E-05
394,5,21,12,730,166.5636,0.002171249,0.000319693,3,2.66E-05,0.000173167,0.005528026,23.1111,38.6699,5.1133,31,0.0019048,6,0,0
403,5,17,24,365,200.9172,0.021356313,0.00070251,8,4.68E-05,0.000218559,0.00360622,54.3652,62.9957,4.6883,20,0.001046,6,0,0.00045273
