GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
57,3,19,20,400,107.6016,0.001033542,0.000213102,1,5.33E-05,0.000543409,0.003782551,29.2203,53.7352,4.9155,19,0.0004262,7,0,0.00038358
58,3,32,10,500,122.8908,0.001136014,0.000327326,2,0,0.001328558,0.002368299,22.6885,62.0813,9.374,15,0.0011745,4,0,1.93E-05
83,3,16,16,6000,153.801,0.001676615,0.000318557,4,0,0.000821541,0.003772383,23.4107,48.0711,7.0044,24,0.0015928,7,0,1.68E-05
97,3,18,12,350,67.4754,0.000422522,0.000169009,1,2.41E-05,0.000144865,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0,0.00043459
98,3,38,6,1000,119.4366,0.004952043,5.21E-05,2,8.69E-05,3.48E-05,0.002727968,54.8718,79.2102,6.2293,21,0.0014943,5,0,0
160,3,19,6,150,64.6416,0.000672344,0.000336172,1,0.000154079,0.000203104,0.002759413,53.5776,78.2944,4.2284,41,0.00063733,6,7.00E-05,6.30E-05
161,3,18,8,250,41.9094,0.000275751,0.000190905,0,0,0.000169693,0.002142372,54.4677,91.3069,3.6881,17,0.00066817,6,0,2.12E-05
175,3,16,24,300,81.0702,0.001746793,0.000104286,0,2.61E-05,0.000143394,0.00262019,47.48,75.0846,5.0796,14,0.00080822,6,2.61E-05,3.91E-05
201,3,23,2,30,66.7818,0.000685853,0.000168228,2,5.18E-05,0.001112894,0.002406957,56.7784,97.9785,4.9355,19,0.00042704,6,0,0
204,3,18,8,600,62.2194,0.001099196,0.000321716,0,4.02E-05,0.000201072,0.002386059,44.3164,90.8989,4.5393,14,0.00071046,7,0,0.00010724
209,3,20,6,150,72.141,0.001237902,0.000393878,5,1.88E-05,0.000271963,0.003376097,45.9164,68.8778,3.7528,24,0.00079713,8,0.000121915,0.00035637
230,3,24,10,200,87.162,0.000398548,6.64E-05,1,0.000387477,0.00087459,0.002634842,38.8354,60.0168,6.1975,21,0.0011181,7,0,3.32E-05
257,3,17,8,100,98.634,0.002241685,6.52E-05,3,3.91E-05,0.000430091,0.003101866,52.4388,70.9076,5.1849,19,0.0014336,7,0.000312793,0.00014336
260,3,35,14,1300,38.6472,0.000264364,0.000107704,0,9.79E-06,0.00015666,0.002457604,54.496,100.988,2.9482,20,0.00054831,7,0,0
290,3,31,12,300,72.0948,0.003530229,0.000104239,1,3.47E-05,0.000319666,0.00228631,73.9634,89.1793,3.7356,37,0.00042391,7,0,0
321,3,30,12,500,62.898,0.002032802,0.0004158,6,0,1.16E-05,0.004019404,58.5591,60.3678,2.454,26,0.00072765,6,0,8.09E-05
342,3,22,10,200,87.2484,0.000250529,5.57E-05,0,0,0.000194856,0.003423895,27.2787,49.9512,4.7967,17,0.00055673,3,0,0.00019486
378,3,19,20,730,91.308,0.003788959,0.000383354,4,3.57E-05,0.00022288,0.003093574,42.0578,78.6052,4.4265,21,0.00074888,5,0,0
384,3,22,40,480,108.4692,0.002186696,0.000441014,3,0.000275634,0.000128629,0.003371922,32.7104,56.654,5.4251,23,0.00098309,6,0,0
396,3,19,28,360,99.2874,0.001925926,0.000207407,7,0,0.000355556,0.003155556,53.9434,60.7887,5.1268,18,0.0013926,7,0.000474074,0.00016296
401,3,19,12,480,52.8438,0.001540674,0.000366827,4,7.34E-05,8.80E-05,0.00256779,65.0345,82.24,3.44,20,0.0011445,6,0,0.00017608
426,3,18,24,400,83.376,0.000518938,0.000120333,5,1.50E-05,0.00081225,0.002955687,58.8878,67.0636,5.2875,29,0.0005039,7,0,0
436,3,18,12,450,78.825,4.55E-05,0.000204732,3,0,0.000636943,0.003184713,45.6978,72.9714,4.6786,7,0.00034122,4,0,0
439,3,25,20,800,76.5426,0.001061473,0.000250534,6,3.96E-05,0.000415359,0.002749281,57.1442,82.9353,4.9448,23,0.00057359,6,0,0
444,3,22,12,100,66.8676,0.002616026,0.000321571,7,1.74E-05,0.000338954,0.003050582,75.7029,75.5442,3.4274,19,0.00051278,7,0.000208587,0.00017382
449,3,21,2,50,37.2018,0.000396646,0.000113327,0,1.42E-05,0.000155825,0.001572416,61.7455,139.2072,4.2072,18,0.00045331,6,0,0
512,3,27,6,120,58.6008,0.001649115,0.000376114,3,5.79E-05,0.000231455,0.002112024,37.5,104.9863,4.6712,10,0.0010126,4,0,0.00014466
527,3,23,4,400,156.9822,0.009796018,0.000299974,4,9.37E-06,0.000234355,0.003215344,34.9942,64.5831,6.5802,27,0.0010593,6,0.000206232,0.00023435
547,3,16,56,1260,114.2112,3.56E-05,5.34E-05,2,3.56E-05,0.001210654,0.002421308,35.4667,62.7353,8.7426,22,0.0014599,6,0,0
569,3,32,20,250,76.0464,0.001613607,0.00043611,4,0,0.00019625,0.0019843,66.9333,100.4835,7.1209,19,0.00045792,5,0,0
601,3,25,8,110,133.6512,0.003419363,0.000683873,4,0,0.000356803,0.003092293,39.5728,54.1154,7.2212,12,0.00098121,5,0,0
