GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
138,6,21,6,500,133.7016,0.004499795,0.000420105,3,1.87E-05,7.47E-05,0.003874305,21.4686,50.5253,5.4892,29,0.0010083,10,0,0.00056014
144,6,18,70,2520,267.5586,0.027814934,0.00070816,10,0,0.000127862,0.005616099,34.6035,40.6025,4.1629,36,0.00085569,12,8.85E-05,0.00019671
158,6,18,10,160,150.5004,0.005666689,0.000631529,6,0.000375504,0.00040964,0.004625521,30.2222,45.5941,4.9077,14,0.001007,6,0,0
163,6,16,28,500,161.3466,0.006109907,0.000577483,9,0.000327953,0.0007272,0.00413506,34.1209,47.1034,5.8466,48,0.0013475,9,0.000377859,0.00017111
169,6,20,14,730,162.0876,0.007596727,0.000571635,7,0.000255731,0.000752151,0.003986401,23.5303,51.034,5.7698,28,0.0026024,6,0,1.50E-05
194,6,18,20,800,108.5424,0.002100536,0.000398378,2,0,0.000434594,0.003078372,28.4762,61.9294,5.8353,11,0.0025351,4,0,0
203,6,18,28,2000,129.1464,0.00263107,0.000599729,4,7.74E-05,0.000338557,0.005146063,25.0245,43.0827,4.1917,35,0.00083188,9,0.000174115,0.00048365
219,6,21,8,730,130.941,0.004758302,0.00075655,10,7.96E-05,0.000139365,0.003384566,36.8047,57.2471,5.7765,11,0.00059728,2,0,0
223,6,16,10,1600,181.104,0.00563541,0.000581793,10,0,0.000456309,0.005007985,20.8037,39.2255,5.6993,30,0.0017226,8,0.000365047,0.001175
235,6,16,42,700,163.4436,0.005399935,0.000526231,4,0.000161917,0.001068653,0.004663212,27.2557,42.4514,5.3681,32,0.00084197,9,0.000170013,0.00029955
240,6,20,16,900,127.6602,0.002737658,0.000577128,5,0.000517935,0.000384752,0.003344383,22.6667,64.6372,6.4779,21,0.0026637,6,0,0
