GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
56,4,30,10,200,69.9612,0.001101091,0.000335571,4,0.000293624,0.000461409,0.002925755,44.6475,75.3548,4.043,22,0.00074455,6,0,0.00018876
77,4,20,14,2708,117.4884,0.002944275,0.000526771,2,1.88E-05,0.000413892,0.005399406,52.014,46.4321,3.3746,29,0.0010347,7,0.000272792,0.00047033
81,4,18,24,800,155.9856,0.005053908,0.000524109,8,2.50E-05,0.000399321,0.003568933,24.4632,52.1538,6.5664,27,0.0013103,6,0,0
93,4,26,4,190,79.2948,0.000378539,0.000255102,3,1.65E-05,0.000164582,0.00355497,39.6381,65.5,4.2269,19,0.00075708,7,0.000106978,0.00026333
105,4,28,8,2000,50.8374,0.000664109,0.00022137,1,1.84E-05,0.00014758,0.002656435,45.7902,76.8889,3.5,13,0.00066411,6,0,0.00029516
127,4,26,28,1100,114.7806,0.002629613,0.000287389,5,0.000244281,0.000344867,0.003649845,40.4427,59.937,4.9961,16,0.0015806,5,0,0
141,4,17,14,500,216.6936,0.012494649,0.000481593,4,5.35E-05,0.000107021,0.004334332,27.9255,45.1605,6.3395,18,0.001204,5,0,0
142,4,23,20,800,129.8598,0.002315078,0.000333769,5,7.81E-05,0.001008408,0.003472617,36.3934,57.5215,6.7587,36,0.00075276,11,0.000284059,0.0012286
168,4,22,4,400,90.7686,0.001610454,0.000392794,4,0,0.000183304,0.003469676,44.7424,59.5321,4.5698,15,0.00070703,6,0,0.00032733
180,4,23,4,100,67.6194,0.001565762,0.000398308,4,4.12E-05,0.00112625,0.001661905,49.4333,89.9174,7.1322,17,0.00083782,6,9.61E-05,0.0002747
184,4,20,14,270,101.7864,0.001453176,0.000538213,2,5.38E-05,0.000304987,0.004180122,22.569,54.6094,4.2961,15,0.00096878,4,0,0.00021529
193,4,22,20,1200,120.7014,0.005495624,0.000239888,5,0,2.18E-05,0.003612864,44.8387,60.9175,4.8089,31,0.00051612,5,0,0
210,4,23,20,100,83.9658,0.002672697,0.000376919,3,0,0.000171327,0.002912555,44.0476,78.0706,4.6118,10,0.00071957,3,0,0
213,4,29,12,800,66.6738,0.000320895,4.58E-05,2,0,0.000194829,0.002292106,38.5126,72.16,5.46,20,0.0010314,9,0.000252132,0.00014899
225,4,22,36,1000,98.6694,0.004474848,0.000462915,1,0.000257175,0.000360045,0.002391729,52.6957,62.5806,5.828,17,0.0005915,3,0,0
226,4,18,6,50,107.4186,0.003028577,0.000310623,4,0.000220025,0.000336509,0.003559226,37.3723,56.0436,5.0873,24,0.00095776,7,0,0
228,4,18,4,140,119.8716,0.00254677,0.000416528,3,4.76E-05,0.000642643,0.002784786,42.6609,67.6068,7.1496,20,0.0023445,5,0,1.19E-05
266,4,28,6,1200,62.8314,0.000969892,0.000190663,4,5.80E-05,0.000207242,0.002395716,44.0139,84.2907,4.7232,23,0.00059686,9,4.14E-05,7.46E-05
268,4,31,10,400,119.232,0.003384716,0.000407797,2,0.000142729,0.000448577,0.003221597,30.6242,68.4557,5.9304,16,0.00063209,5,0,0.00022429
272,4,26,8,600,83.2656,0.00413375,0.000344479,4,2.30E-05,0.000252618,0.003284035,80.6761,69.5385,3.5664,14,0.00050524,7,0,0.00016076
280,4,21,16,612,109.4994,0.002078967,0.000185924,2,0,0.000354946,0.00451288,41.2632,52.6742,4.2734,19,0.0015212,7,0.000118315,0.0011832
284,4,25,4,180,107.4084,0.001604398,0.000388326,8,0,0.000398545,0.00396501,30.5633,51.4124,4.8144,22,0.0011445,8,7.15E-05,0.00012263
336,4,23,4,415,59.181,0.00163768,0.000545893,4,7.66E-05,0.000239427,0.002537925,62.5909,84.4528,3.883,24,0.00083321,8,0,0
338,4,31,4,500,100.4322,0.000686271,7.52E-05,3,9.40E-06,0.000667469,0.003797992,45.6675,66.7822,4.8589,25,0.0010905,9,0.000216222,0.00011281
350,4,16,14,150,130.4472,0.002257278,0.000570806,10,2.59E-05,0.001037829,0.003567537,37.3869,50.5018,6.3309,21,0.0010897,7,0.000350267,5.19E-05
389,4,21,12,350,89.9394,0.001259391,0.00068398,10,0.000455987,0.000401702,0.002725062,31.616,68.6056,5.8367,20,0.0011183,7,0.000173709,0.00016285
392,4,19,20,639,197.5674,0.014814309,0.000273075,5,0.000238941,0.000386856,0.004574003,40.1297,45.1343,4.8085,25,0.00093301,8,2.28E-05,0
423,4,22,10,700,83.085,0.000855174,0.000301826,5,0.000138337,0.00064138,0.003219478,31.451,57.7344,4.6289,20,0.0011067,9,0,0.00050304
424,4,32,2,300,38.2104,0.000915704,0.000152617,5,3.82E-05,6.36E-05,0.001678791,73.5573,123.4848,3.3182,14,0.00059775,6,1.27E-05,0
442,4,19,6,50,88.1628,0.001505596,0.000189681,1,1.19E-05,0.000343797,0.002702959,51.8062,81.2632,5.5132,15,0.0011737,6,8.30E-05,7.11E-05
464,4,20,6,1000,96.756,0.002030248,0.000514918,6,5.88E-05,0,0.003633849,29.0894,56.2105,4.4737,27,0.00067675,7,0,0
475,4,19,6,200,62.1042,0.000777998,0.000282908,5,0,0.000222285,0.003364588,37.7711,71.1111,3.3814,28,0.00082852,9,0,0.00029301
490,4,20,24,233,69.1764,0.000330583,2.64E-05,0,9.26E-05,0.00019835,0.001996721,44.1333,93.404,6.3113,15,0.00048926,4,0,0
511,4,18,16,600,125.832,0.000655684,3.07E-05,1,0,0.000153676,0.003657487,38.809,57.2773,6.056,20,0.0011577,7,7.17E-05,3.07E-05
514,4,16,8,1000,79.2294,0.001579552,0.000276146,3,4.42E-05,0.000276146,0.003313745,35.5318,66.9467,4.09,20,0.00078425,9,0,0.00034242
517,4,32,20,1000,145.7052,0.00217092,0.000428563,5,0,0.000976563,0.002655688,36.4456,61.8095,10.2513,27,0.00094846,8,6.32E-05,4.22E-05
519,4,17,16,150,115.536,0.002781529,0.000391574,1,1.35E-05,0.000391574,0.002795031,25.4369,73.4879,6.9179,18,0.00086416,7,0,1.35E-05
526,4,16,12,350,129.5088,0.003193273,0.000144492,1,0.000130043,0.001112588,0.002730898,48.1915,63.6614,7.6878,20,0.00089585,6,0,0
529,4,17,36,1260,82.5732,0.001679813,0.000584283,6,0,0.000766871,0.002118025,39.9298,77.2414,6.4483,8,0.0016068,4,0,0
535,4,19,24,200,85.0974,0.001286369,0.000152025,3,7.02E-05,9.36E-05,0.003379643,54.375,76.1522,4.5848,26,0.00099401,7,0.00024558,0.00042099
542,4,19,8,480,156.2238,0.006424053,0.000733712,7,0.000179352,0.00055436,0.00464684,25.0423,40.3088,5.1193,29,0.0015653,7,0.000293485,0.00058697
546,4,23,20,300,94.2774,0.002596525,0.00061822,6,0.000288503,0.000214316,0.003140559,40.4211,63.0026,4.9659,35,0.00091497,7,0,0
557,4,18,12,2000,133.3434,0.003499604,0.000518809,6,1.89E-05,0.000188658,0.004688149,34.6935,46.4869,4.7807,21,0.001264,8,0.000311286,0.00087726
570,4,21,4,500,86.7318,0.00327441,0.000553942,6,0,1.23E-05,0.003422128,30.296,63.554,4.0072,28,0.00078783,5,0,0
588,4,17,18,430,129.3624,0.001593489,6.88E-05,0,2.87E-05,0.001089075,0.004167144,38.9697,48.2036,5.5131,32,0.00054454,8,9.74E-05,0.00022355
591,4,17,8,400,87.531,0.001468374,0.000263554,4,0,0.000169428,0.003463855,59.3443,53.3478,4.2609,13,0.00099774,7,0,0.00032003
607,4,22,24,1000,55.077,0.001092645,0.000115015,5,0,0.000316292,0.002702858,60.9626,81.0426,3.5585,14,0.00076198,8,0.000258784,0
674,4,23,8,400,141.6378,0.002463519,0.000446352,3,0.000137339,0.000334764,0.003519313,26.0342,53.2976,7.6902,18,0.00070386,10,0.000120172,0.00037768
683,4,20,28,999,110.1012,0.003968579,0.000439817,6,2.05E-05,0.000102283,0.002649129,50.4496,67.444,7.1004,23,0.0015547,8,0,0
685,4,19,8,500,125.103,0.002571301,0.000459605,2,1.24E-05,0.000298122,0.003627149,23.079,51.6986,6.2192,21,0.0014285,7,0,3.73E-05
691,4,20,12,200,73.5696,0.001969653,0.000448122,5,3.13E-05,7.30E-05,0.003314019,58.9274,69.1572,3.8491,25,0.00083372,8,0.000125057,0.00022927
712,4,20,8,600,130.1964,0.005139811,0.000341984,5,0,1.01E-05,0.004264736,44.7754,53.1981,4.5943,26,0.0015993,7,0.000211225,0.00015088
716,4,19,10,600,64.7592,0.001895307,0.000473827,8,6.77E-05,0.000135379,0.002786552,52.6667,80.6154,3.9028,18,0.00051895,6,0,0.00040614
751,4,24,24,303,72.069,0.00149251,0.000111243,0,4.64E-05,0.000213216,0.003031371,68.1227,71.8532,4.1529,31,0.0010753,9,0.000222486,0.00046351
760,4,26,12,500,82.9908,0.001657656,0.000484546,3,0,0.000816077,0.003315312,49.2093,65.6923,4.2615,13,0.00084158,4,0,0
762,4,18,10,600,58.947,9.81E-05,5.88E-05,0,0,0.00017654,0.002000785,64.5545,85.4902,5.6765,14,0.00068654,4,0,1.96E-05
784,4,16,10,360,156.0678,0.006037164,0.000450229,3,4.09E-05,0.000818599,0.003724623,32.8398,46.2418,6.1538,16,0.0018828,5,0,0
789,4,16,12,450,119.1558,0.004602356,0.00032874,5,0,9.20E-05,0.003405744,36.2481,61.1892,5.332,18,0.00085472,4,0,0.00034189
790,4,24,4,300,100.5552,0.001662523,0.000411746,4,1.55E-05,8.55E-05,0.003736793,42.2167,56.7152,4.9044,27,0.0012352,10,0.000139838,0.00062927
799,4,17,20,500,61.8882,0.00160273,0.00018957,5,0.000112019,8.62E-05,0.002421328,50.3,91.1032,4.2206,23,0.00074105,7,0,0
818,4,20,30,700,91.1646,0.00175551,0.000140953,3,3.84E-05,0.000153767,0.003549462,40.5362,57.2274,4.4621,23,0.00067914,8,0.000166581,8.97E-05
824,4,16,16,184,113.9904,0.000997488,8.62E-05,0,2.46E-05,0.000689621,0.003288015,34.2256,56.2846,6.0375,26,0.0015393,7,0,0
837,4,19,28,4000,194.1858,0.011963851,0.000503371,4,0.000245833,0.000327777,0.00495177,39.8389,41.0591,4.6454,22,0.0009248,6,0.000351189,0.00014048
841,4,20,8,400,109.968,0.002845781,0.000401328,1,7.30E-05,0.001295195,0.003466015,59.5989,64.1895,5.3737,33,0.001277,8,0.000136816,0.00011857
851,4,22,10,350,130.2162,0.004410764,0.000648329,2,1.06E-05,0.000276337,0.003943117,34.7568,50.372,5.4582,26,0.00087152,8,0.000414506,0.00036136
865,4,21,12,350,69.9006,0.001389909,0.000183573,5,3.28E-05,0.000314696,0.002996171,55.8947,76.6039,4.0613,25,0.00072774,9,0,0
