GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
9185,1,37,12,300,22.0596,2.44E-05,3.25E-05,3,1.63E-05,3.25E-05,0.001594896,134.1128,147.5306,2.8469,18,0.0003499,9,8.95E-05,1.63E-05
9224,1,25,4,200,74.3232,0.000753926,0.000117495,2,9.79E-06,0.000636431,0.002604473,44.2868,77.9549,5.282,19,0.00053852,7,0,7.83E-05
60,2,27,6,70,44.457,0.00097839,0.000255232,2,0,0,0.002424707,76.4405,98.7719,3.0965,16,0.00037221,6,0,0
181,2,25,10,200,75.9642,0.000609665,0.000136864,4,0.000124421,0.000323496,0.00209028,45.1018,78.3095,6.5417,15,0.00093316,6,0,0
187,2,25,8,100,79.128,0.00050077,8.99E-05,4,1.93E-05,0.001720596,0.002754237,50.5327,67.1422,5.345,28,0.00043657,6,0,6.42E-06
215,2,27,24,250,73.9722,0.002647278,0.000454884,7,7.46E-06,0.000186428,0.002684564,58.8858,88.6889,4.4111,24,0.00058166,8,0.0001044,0.00023863
220,2,27,8,280,55.047,0.000642809,0.000126454,0,7.38E-05,9.48E-05,0.002529085,62.8452,83.8667,3.9333,22,0.00052689,6,0,0.00017914
234,2,16,24,50,109.038,0.004300867,0.000177855,6,0,0,0.003395421,28.555,63.1429,4.8571,13,0.0010186,6,0,8.08E-05
263,2,22,16,450,114.942,0.001744367,0.000299987,2,2.22E-05,8.89E-05,0.002577663,31.2208,61.5517,8.1379,22,0.0013888,7,0.000155549,0.00097773
288,2,32,10,400,53.8788,0.001312051,6.91E-05,4,0,9.87E-05,0.001588272,21.325,105.3416,5.677,14,0.00047352,7,0,0
333,2,16,28,300,76.8504,0.000714417,0.000357209,1,0,0.000103706,0.001947364,42.5714,82.5089,7.2249,18,0.00038025,3,0,0
422,2,20,6,100,61.7502,0.001604413,0.000360542,6,0,0.000306461,0.001910874,72.4952,85.5472,5.3585,16,0.0010095,5,0,0
584,2,24,12,10,44.5248,0.001870009,0.000151622,0,5.05E-05,0.000126352,0.002046902,66.35,97.9259,3.358,11,0.00060649,3,0,0
628,2,18,12,500,89.5368,0.002862759,0.000341822,5,8.55E-05,8.55E-05,0.002456845,69.2281,72.4174,5.5565,25,0.00064092,5,0,0
645,2,21,16,500,101.6526,0.001983008,0.000237961,2,0.000123387,0.000299655,0.002388423,23.1259,72.2214,7.3247,22,0.00097828,8,0,0
651,2,29,4,100,86.5122,0.000697496,6.97E-05,1,3.49E-05,0.000244124,0.003330543,39.6211,67.0995,4.623,12,0.00071493,3,0,0
672,2,23,8,400,114.7236,0.002289592,0.000133699,3,6.68E-05,6.68E-05,0.003008223,31.3296,64.8222,6.3278,24,0.0016712,7,0,0
689,2,22,14,700,34.9278,0.000265273,5.63E-05,2,2.41E-05,0.000136656,0.002411576,86.6622,94.7467,2.6567,33,0.00048232,7,0,3.22E-05
692,2,18,8,400,87.5064,0.001912549,0.000386019,8,0,0.000105278,0.0023863,34.4296,85.0588,6.2647,15,0.0018599,6,0.000105278,0
694,2,18,28,250,73.02,0.002147145,0.000624425,1,0,0.000219096,0.003560317,45.5802,77.5754,3.2615,20,0.00050392,9,0,0
701,2,19,20,120,119.073,0.001220778,0.000365272,3,6.73E-05,8.65E-05,0.004402492,32.779,49.6419,4.8843,22,0.00095163,9,0.000336435,0.0005383
